itdl-ag,itdl-au,itdl-aug,itdl-ug
0.797468354,0.82278481,0.797468354,0.784810127
0.797468354,0.797468354,0.784810127,0.810126582
0.82278481,0.784810127,0.784810127,0.784810127
0.835443038,0.82278481,0.810126582,0.810126582
0.810126582,0.797468354,0.810126582,0.797468354
0.835443038,0.772151899,0.784810127,0.797468354
0.835443038,0.772151899,0.848101266,0.810126582
0.835443038,0.797468354,0.860759494,0.810126582
0.82278481,0.82278481,0.810126582,0.835443038
0.82278481,0.784810127,0.82278481,0.848101266
0.797468354,0.784810127,0.835443038,0.784810127
0.708860759,0.696202532,0.759493671,0.696202532
0.734177215,0.708860759,0.746835443,0.683544304
0.746835443,0.721518987,0.746835443,0.696202532
0.746835443,0.683544304,0.734177215,0.708860759
0.746835443,0.683544304,0.759493671,0.708860759
0.746835443,0.708860759,0.759493671,0.708860759
0.734177215,0.683544304,0.759493671,0.708860759
0.721518987,0.683544304,0.784810127,0.670886076
0.734177215,0.708860759,0.772151899,0.721518987
0.772151899,0.759493671,0.772151899,0.708860759
0.759493671,0.708860759,0.759493671,0.759493671
0.772151899,0.746835443,0.759493671,0.746835443
0.746835443,0.734177215,0.784810127,0.734177215
0.759493671,0.746835443,0.759493671,0.734177215
0.759493671,0.772151899,0.784810127,0.746835443
0.772151899,0.746835443,0.784810127,0.734177215
0.759493671,0.746835443,0.759493671,0.759493671
0.759493671,0.721518987,0.759493671,0.772151899
0.772151899,0.759493671,0.759493671,0.784810127
0.734177215,0.670886076,0.746835443,0.759493671
0.759493671,0.759493671,0.772151899,0.746835443
0.759493671,0.772151899,0.759493671,0.759493671
0.746835443,0.696202532,0.746835443,0.696202532
0.759493671,0.721518987,0.708860759,0.734177215
0.734177215,0.721518987,0.759493671,0.721518987
0.721518987,0.734177215,0.784810127,0.708860759
0.759493671,0.734177215,0.734177215,0.708860759
0.734177215,0.734177215,0.683544304,0.708860759
0.734177215,0.696202532,0.746835443,0.721518987
0.683544304,0.708860759,0.734177215,0.721518987
0.746835443,0.708860759,0.746835443,0.759493671
0.746835443,0.746835443,0.746835443,0.721518987
0.772151899,0.746835443,0.772151899,0.772151899
0.683544304,0.683544304,0.721518987,0.683544304
0.734177215,0.658227848,0.708860759,0.670886076
0.708860759,0.670886076,0.708860759,0.658227848
0.696202532,0.670886076,0.696202532,0.696202532
0.708860759,0.683544304,0.721518987,0.658227848
0.708860759,0.683544304,0.708860759,0.670886076
0.746835443,0.670886076,0.734177215,0.696202532
0.708860759,0.683544304,0.721518987,0.658227848
0.734177215,0.696202532,0.721518987,0.696202532
0.696202532,0.721518987,0.708860759,0.670886076
0.746835443,0.683544304,0.746835443,0.746835443
0.683544304,0.670886076,0.658227848,0.670886076
0.670886076,0.670886076,0.670886076,0.658227848
0.683544304,0.683544304,0.696202532,0.658227848
0.683544304,0.670886076,0.658227848,0.670886076
0.696202532,0.658227848,0.683544304,0.670886076
0.670886076,0.64556962,0.696202532,0.658227848
0.683544304,0.658227848,0.683544304,0.658227848
0.670886076,0.683544304,0.64556962,0.658227848
0.64556962,0.658227848,0.64556962,0.64556962
0.658227848,0.658227848,0.658227848,0.658227848
0.658227848,0.683544304,0.658227848,0.658227848
0.746835443,0.696202532,0.734177215,0.696202532
0.772151899,0.708860759,0.721518987,0.683544304
0.683544304,0.683544304,0.683544304,0.696202532
0.734177215,0.696202532,0.708860759,0.696202532
0.746835443,0.696202532,0.759493671,0.708860759
0.721518987,0.696202532,0.746835443,0.708860759
0.708860759,0.708860759,0.746835443,0.721518987
0.759493671,0.708860759,0.708860759,0.696202532
0.708860759,0.696202532,0.746835443,0.708860759
0.772151899,0.734177215,0.759493671,0.708860759
0.746835443,0.746835443,0.746835443,0.746835443
0.64556962,0.620253165,0.64556962,0.620253165
0.64556962,0.620253165,0.632911392,0.607594937
0.607594937,0.582278481,0.632911392,0.64556962
0.658227848,0.607594937,0.632911392,0.620253165
0.64556962,0.620253165,0.620253165,0.607594937
0.632911392,0.607594937,0.658227848,0.632911392
0.670886076,0.632911392,0.632911392,0.632911392
0.64556962,0.632911392,0.658227848,0.658227848
0.64556962,0.569620253,0.64556962,0.620253165
0.620253165,0.64556962,0.670886076,0.64556962
0.708860759,0.64556962,0.708860759,0.708860759
0.708860759,0.620253165,0.683544304,0.620253165
0.696202532,0.64556962,0.658227848,0.64556962
0.683544304,0.658227848,0.670886076,0.632911392
0.683544304,0.632911392,0.696202532,0.64556962
0.696202532,0.64556962,0.658227848,0.620253165
0.683544304,0.620253165,0.658227848,0.670886076
0.670886076,0.658227848,0.658227848,0.64556962
0.696202532,0.620253165,0.670886076,0.64556962
0.721518987,0.64556962,0.683544304,0.64556962
0.670886076,0.683544304,0.683544304,0.670886076
0.683544304,0.708860759,0.683544304,0.683544304
